,trip_id,route_id,stop_id,vehicle_id,time_of_day,service_date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time,shape_id
59,CA_A6-Weekday-SDon-039500_S93_304,S93,301707.0,7085.0,2016-01-04 12:15:00,20160104.0,13918.2248387,2.0,106.62798773,230.295745,S930077
60,CA_A6-Weekday-SDon-039500_S93_304,S93,307203.0,7085.0,2016-01-04 12:00:00,20160104.0,8584.55263158,2.0,587.534781438,714.025626,S930077
61,CA_A6-Weekday-SDon-039500_S93_304,S93,307203.0,7085.0,2016-01-04 12:05:00,20160104.0,9648.86625,1.0,418.486391811,414.025626,S930077
62,CA_A6-Weekday-SDon-039500_S93_304,S93,307203.0,7085.0,2016-01-04 12:10:00,20160104.0,13014.4436364,1.0,46.8998028471,114.025626,S930077
63,CA_A6-Weekday-SDon-039800_MISC_412,S90,200019.0,8210.0,2016-01-04 12:00:00,20160104.0,6143.18741935,1.0,17.3003520157,31.152059,S900027
64,CA_A6-Weekday-SDon-039800_MISC_412,S90,200020.0,8210.0,2016-01-04 12:00:00,20160104.0,6143.18741935,2.0,56.3772583609,153.229847,S900027
65,CA_A6-Weekday-SDon-039800_MISC_412,S90,202738.0,8210.0,2016-01-04 12:00:00,20160104.0,6143.18741935,6.0,224.68512446,366.781478,S900027
66,CA_A6-Weekday-SDon-039800_MISC_412,S90,202738.0,8210.0,2016-01-04 12:05:00,20160104.0,7082.06121212,1.0,48.8055521369,66.781478,S900027
67,CA_A6-Weekday-SDon-039900_X1011_310,X10B,203612.0,2217.0,2016-01-04 12:00:00,20160104.0,6670.09967742,3.0,291.220341571,254.540817,X10B0011
68,CA_A6-Weekday-SDon-040000_MISC_453,S53,200128.0,7072.0,2016-01-04 12:00:00,20160104.0,3721.415,22.0,1102.26212257,1338.024036,S530118
69,CA_A6-Weekday-SDon-040000_MISC_453,S53,200128.0,7072.0,2016-01-04 12:05:00,20160104.0,4810.50774194,18.0,886.901610706,1038.024036,S530118
70,CA_A6-Weekday-SDon-040000_MISC_453,S53,200715.0,7072.0,2016-01-04 12:00:00,20160104.0,3721.415,2.0,84.9950317599,157.932077,S530118
71,CA_A6-Weekday-SDon-040000_MISC_453,S53,307203.0,7072.0,2016-01-04 12:00:00,20160104.0,3721.415,27.0,1733.75306342,2380.834748,S530118
72,CA_A6-Weekday-SDon-040000_MISC_453,S53,307203.0,7072.0,2016-01-04 12:05:00,20160104.0,4810.50774194,23.0,1518.39255156,2080.834748,S530118
73,CA_A6-Weekday-SDon-075000_MISC_415,S76,201616.0,8224.0,2016-01-04 18:10:00,20160104.0,10696.5414286,3.0,143.978760064,145.0,S760058
74,CA_A6-Weekday-SDon-075000_S5181_308,S51,200149.0,6236.0,2016-01-04 18:00:00,20160104.0,9415.25580645,6.0,349.317031064,272.882884,S510083
