,trip_id,vehicle_id,route_id,stop_id,time_of_day,dist_along_route,stop_num_from_call
0,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:05:00,9839.82,15.0
1,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:05:00,4309.27568421,28.0
2,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404850.0,12:05:00,26410.2846875,5.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:05:00,11356.4108511,6.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:10:00,5667.39935484,25.0
1,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404850.0,12:10:00,27399.5734921,2.0
2,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404850.0,12:10:00,506.085,41.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:10:00,15103.6572581,6.0
4,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:10:00,10904.618125,6.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:15:00,6852.37182796,21.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404850.0,12:15:00,1938.38666667,35.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:15:00,16997.090625,6.0
3,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:15:00,14515.9469231,6.0
4,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404850.0,12:15:00,1000.915625,39.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:20:00,7212.84765957,20.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404850.0,12:20:00,3456.6859375,31.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:20:00,20498.4954687,6.0
3,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:20:00,16547.6183333,6.0
4,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404850.0,12:20:00,1910.42301587,36.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:25:00,8137.09172043,17.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404850.0,12:25:00,4935.96354167,27.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:25:00,25242.651129,6.0
3,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:25:00,18809.050625,6.0
4,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404850.0,12:25:00,3283.93333333,31.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404850.0,12:30:00,9351.79297872,17.0
1,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404850.0,12:30:00,5796.58114583,24.0
2,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404850.0,12:30:00,26629.1450476,4.0
3,CA_A6-Weekday-SDon-044000_X14_310,2659.0,X14,404850.0,12:30:00,1341.55105263,37.0
4,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404850.0,12:30:00,23481.771134,6.0
5,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404850.0,12:30:00,4498.62905263,27.0
0,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:00:00,8437.90178295,29.0
1,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:00:00,2617.0609375,44.0
2,CA_A6-Weekday-SDon-034800_X14_303,2653.0,X14,404300.0,12:00:00,28225.954252,9.0
3,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:00:00,24245.0907937,18.0
4,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:00:00,12475.2206504,18.0
0,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:05:00,9839.82,27.0
1,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:05:00,4309.27568421,40.0
2,CA_A6-Weekday-SDon-034800_X14_303,2653.0,X14,404300.0,12:05:00,32450.663937,9.0
3,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:05:00,26410.2846875,17.0
4,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:05:00,11356.4108511,18.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:10:00,5667.39935484,37.0
1,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:10:00,27399.5734921,14.0
2,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404300.0,12:10:00,506.085,53.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:10:00,15103.6572581,18.0
4,CA_A6-Weekday-SDon-034800_X14_303,2653.0,X14,404300.0,12:10:00,33758.4177419,6.0
5,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:10:00,10904.618125,18.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:15:00,6852.37182796,33.0
1,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:15:00,29744.4607937,9.0
2,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404300.0,12:15:00,1938.38666667,47.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:15:00,16997.090625,18.0
4,CA_A6-Weekday-SDon-034800_X14_303,2653.0,X14,404300.0,12:15:00,35000.2710769,4.0
5,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:15:00,14515.9469231,18.0
6,MA_A6-Weekday-SDon-043000_MISC_651,2866.0,X14,404300.0,12:15:00,1000.915625,51.0
0,CA_A6-Weekday-SDon-041000_X14_308,2224.0,X14,404300.0,12:20:00,7212.84765957,32.0
1,CA_A6-Weekday-SDon-036300_X14_304,2662.0,X14,404300.0,12:20:00,32852.0291579,9.0
2,CA_A6-Weekday-SDon-042000_X14_309,2645.0,X14,404300.0,12:20:00,3456.6859375,43.0
3,CA_A6-Weekday-SDon-037800_X14_305,2214.0,X14,404300.0,12:20:00,20498.4954687,18.0
4,CA_A6-Weekday-SDon-034800_X14_303,2653.0,X14,404300.0,12:20:00,36402.6458065,1.0
5,CA_A6-Weekday-SDon-039000_X14_306,2220.0,X14,404300.0,12:20:00,16547.6183333,18.0
