,trip_id,route_id,stop_id,vehicle_id,time_of_day,date,dist_along_route,stop_num_from_call,estimated_arrival_time,actual_arrival_time
14,MA_A6-Weekday-SDon-042500_X1011_602,X11,202589,2872.0,12:10:00,20160126.0,903.287741935,6.0,362.329573048,441.320239403
15,MA_A6-Weekday-SDon-042500_X1011_602,X11,202589,2872.0,12:15:00,20160126.0,2798.23125,2.0,124.429743555,141.320239403
16,CA_A6-Weekday-SDon-043500_X1011_315,X11,202589,2582.0,12:25:00,20160126.0,1328.84584615,5.0,299.440778536,290.391790702
17,MA_A6-Weekday-SDon-044500_X1011_603,X11,202589,2849.0,12:25:00,20160126.0,7.96,8.0,489.494759703,634.810033407
18,MA_A6-Weekday-SDon-044500_X1011_603,X11,202589,2849.0,12:30:00,20160126.0,1120.56489362,5.0,265.23647526,334.810033407
19,CA_A6-Weekday-SDon-041000_X1011_309,X11,201951,2224.0,12:05:00,20160126.0,2472.74571429,6.0,454.632092213,790.630199786
20,MA_A6-Weekday-SDon-042500_X1011_602,X11,201951,2872.0,12:10:00,20160126.0,903.287741935,10.0,733.934429779,1019.22070565
21,CA_A6-Weekday-SDon-041000_X1011_309,X11,201951,2224.0,12:10:00,20160126.0,3675.913125,4.0,370.520997422,490.630199786
22,MA_A6-Weekday-SDon-042500_X1011_602,X11,201951,2872.0,12:15:00,20160126.0,2798.23125,6.0,496.034600286,719.220705653
23,CA_A6-Weekday-SDon-041000_X1011_309,X11,201951,2224.0,12:15:00,20160126.0,4278.92387097,2.0,134.949957421,190.630199786
24,MA_A6-Weekday-SDon-042500_X1011_602,X11,201951,2872.0,12:20:00,20160126.0,3824.26396825,3.0,218.669430865,419.220705653
25,CA_A6-Weekday-SDon-043500_X1011_315,X11,201951,2582.0,12:25:00,20160126.0,1328.84584615,9.0,671.045635268,806.88337334
26,MA_A6-Weekday-SDon-044500_X1011_603,X11,201951,2849.0,12:25:00,20160126.0,7.96,12.0,861.099616435,1130.06137615
27,MA_A6-Weekday-SDon-042500_X1011_602,X11,201951,2872.0,12:25:00,20160126.0,4350.380625,2.0,153.510857058,119.220705653
28,CA_A6-Weekday-SDon-043500_X1011_315,X11,201951,2582.0,12:30:00,20160126.0,3244.93947917,4.0,298.733111834,506.88337334
29,MA_A6-Weekday-SDon-044500_X1011_603,X11,201951,2849.0,12:30:00,20160126.0,1120.56489362,9.0,636.841331992,830.061376153
30,CA_A6-Weekday-SDon-041000_X14_308,X14,203723,2581.0,12:00:00,20160126.0,2445.63588235,16.0,1193.62428448,1899.76726045
31,CA_A6-Weekday-SDon-040000_X14_307,X14,203723,2661.0,12:00:00,20160126.0,4937.77603604,9.0,731.738342793,845.806900408
32,CA_A6-Weekday-SDon-041000_X14_308,X14,203723,2581.0,12:05:00,20160126.0,3614.7340625,13.0,1028.72409366,1599.76726045
33,CA_A6-Weekday-SDon-042000_X14_309,X14,203723,2647.0,12:05:00,20160126.0,1462.80650794,19.0,1385.67197068,2012.46921336
34,CA_A6-Weekday-SDon-040000_X14_307,X14,203723,2661.0,12:05:00,20160126.0,6401.43193548,5.0,484.087343517,545.806900408
35,CA_A6-Weekday-SDon-041000_X14_308,X14,203723,2581.0,12:10:00,20160126.0,4969.86746032,9.0,737.015880565,1299.76726045
36,CA_A6-Weekday-SDon-042000_X14_309,X14,203723,2647.0,12:10:00,20160126.0,2945.10650794,15.0,1122.37476524,1712.46921336
37,CA_A6-Weekday-SDon-041000_X14_308,X14,203723,2581.0,12:15:00,20160126.0,6161.84968254,5.0,431.13375499,999.767260452
38,CA_A6-Weekday-SDon-042000_X14_309,X14,203723,2647.0,12:15:00,20160126.0,4205.75285714,11.0,858.446572286,1412.46921336
39,MA_A6-Weekday-SDon-043000_MISC_651,X14,203723,2862.0,12:15:00,20160126.0,460.869157895,23.0,1597.60361443,2527.55008613
40,CA_A6-Weekday-SDon-041000_X14_308,X14,203723,2581.0,12:20:00,20160126.0,6841.29096774,3.0,242.861398107,699.767260452
41,CA_A6-Weekday-SDon-042000_X14_309,X14,203723,2647.0,12:20:00,20160126.0,5568.84206349,8.0,688.051786557,1112.46921336
42,MA_A6-Weekday-SDon-043000_MISC_651,X14,203723,2862.0,12:20:00,20160126.0,1770.7906383,18.0,1316.75401348,2227.55008613
43,CA_A6-Weekday-SDon-042000_X14_309,X14,203723,2647.0,12:25:00,20160126.0,6696.61914894,4.0,413.345040267,812.469213359
44,MA_A6-Weekday-SDon-043000_MISC_651,X14,203723,2862.0,12:25:00,20160126.0,3189.63444444,15.0,1163.92405164,1927.55008613
45,CA_A6-Weekday-SDon-041000_X14_308,X14,203723,2581.0,12:30:00,20160126.0,7760.73625,1.0,38.4768198958,99.7672604519
46,CA_A6-Weekday-SDon-042000_X14_309,X14,203723,2647.0,12:30:00,20160126.0,7021.08489362,3.0,290.657562823,512.469213359
