,segment_start,segment_end,segment_pair,travel_duration
46,450402, 404890,"(450402, 404890)",157.520853191
47,201950, 201933,"(201950, 201933)",2095.0
48,203810, 203456,"(203810, 203456)",94.4344557755
49,405043, 405043,"(405043, 405043)",46.0
50,450402, 450402,"(450402, 450402)",189.0
51,202669, 201933,"(202669, 201933)",445.0
52,203456, 200646,"(203456, 200646)",62.4859555275
53,450040, 404299,"(450040, 404299)",152.865414082
54,402145, 905030,"(402145, 905030)",111.26737669
55,203343, 203798,"(203343, 203798)",101.797227823
56,201498, 201499,"(201498, 201499)",58.3668108692
57,404890, 400070,"(404890, 400070)",614.0
58,803071, 901111,"(803071, 901111)",170.919775911
59,901171, 901171,"(901171, 901171)",50.5
60,201944, 203067,"(201944, 203067)",139.0
61,905020, 805033,"(905020, 805033)",209.398335941
62,905030, 903205,"(905030, 903205)",92.0
63,202589, 201947,"(202589, 201947)",81.93314256
64,201951, 203604,"(201951, 203604)",55.9260542099
65,404890, 404891,"(404890, 404891)",88.1897983567
66,905019, 200316,"(905019, 200316)",2.8
67,404300, 402227,"(404300, 402227)",111.538044528
68,203608, 203609,"(203608, 203609)",98.2407759083
69,402229, 400744,"(402229, 400744)",151.574523171
70,203604, 203608,"(203604, 203608)",65.258951117
71,201730, 203616,"(201730, 203616)",68.3842500081
72,201950, 201951,"(201950, 201951)",75.0869418494
73,404299, 404300,"(404299, 404300)",126.376366596
74,404892, 404892,"(404892, 404892)",103.0
75,903101, 404850,"(903101, 404850)",101.693077008
76,402229, 905030,"(402229, 905030)",96.0
77,400070, 400070,"(400070, 400070)",40.0
78,203343, 203343,"(203343, 203343)",88.0
79,404887, 400070,"(404887, 400070)",717.415417472
80,203614, 901108,"(203614, 901108)",766.456498062
81,203605, 202647,"(203605, 202647)",62.0151678428
82,400186, 903205,"(400186, 903205)",58.0
83,201947, 201948,"(201947, 201948)",115.923888476
84,400354, 402145,"(400354, 402145)",627.0
85,805039, 805038,"(805039, 805038)",164.982530686
86,203614, 203614,"(203614, 203614)",62.0
87,203067, 201933,"(203067, 201933)",161.745428786
88,203052, 200652,"(203052, 200652)",118.732347691
89,200316, 200428,"(200316, 200428)",71.4469932853
90,901108, 404887,"(901108, 404887)",758.978385909
91,402143, 402144,"(402143, 402144)",262.590463481
92,400186, 400186,"(400186, 400186)",64.0
93,202603, 202603,"(202603, 202603)",59.0
94,200652, 203723,"(200652, 203723)",99.9135554986
95,805035, 901114,"(805035, 901114)",178.727301295
96,201948, 201950,"(201948, 201950)",98.6608838461
97,803071, 903205,"(803071, 903205)",808.5
98,803033, 903205,"(803033, 903205)",178.0
99,201933, 203067,"(201933, 203067)",197.0
100,803074, 803071,"(803074, 803071)",106.145996378
101,905030, 905030,"(905030, 905030)",71.5
102,400354, 450040,"(400354, 450040)",172.973544278
103,201934, 203417,"(201934, 203417)",67.9527571201
104,201940, 203067,"(201940, 203067)",114.0
105,402143, 402143,"(402143, 402143)",106.0
106,203616, 203617,"(203616, 203617)",65.0132376722
107,803033, 401666,"(803033, 401666)",78.4961471361
108,203613, 203614,"(203613, 203614)",110.963815964
109,400070, 450402,"(400070, 450402)",177.275833211
110,404891, 404892,"(404891, 404892)",80.4922610833
111,200646, 200715,"(200646, 200715)",54.470463157
112,905020, 203724,"(905020, 203724)",195.0
113,901111, 901111,"(901111, 901111)",32.0
114,202669, 201940,"(202669, 201940)",59.202802534
115,805039, 805039,"(805039, 805039)",60.0
116,805038, 805038,"(805038, 805038)",60.0
117,203067, 203067,"(203067, 203067)",110.0
118,203809, 201492,"(203809, 201492)",61.772234654
119,803033, 803033,"(803033, 803033)",32.0
120,805038, 901171,"(805038, 901171)",153.726955564
121,202603, 202941,"(202603, 202941)",91.435653186
122,200430, 203605,"(200430, 203605)",50.6180844758
123,404892, 404242,"(404892, 404242)",95.75
124,402145, 402145,"(402145, 402145)",26.0
125,203798, 905020,"(203798, 905020)",81.0622430517
126,201495, 201497,"(201495, 201497)",66.9878088553
127,203417, 202669,"(203417, 202669)",81.1338522718
128,203884, 905019,"(203884, 905019)",53.0
129,200715, 202603,"(200715, 202603)",58.6953115124
130,405043, 803033,"(405043, 803033)",166.16386851
131,201497, 201498,"(201497, 201498)",55.5984078151
132,201944, 202589,"(201944, 202589)",61.7353879896
133,401666, 903101,"(401666, 903101)",67.0042992964
134,203612, 203613,"(203612, 203613)",129.603020173
135,404887, 404887,"(404887, 404887)",66.0
136,203724, 203724,"(203724, 203724)",78.3150684932
137,803071, 803071,"(803071, 803071)",63.5
138,401666, 401666,"(401666, 401666)",63.0
