,segment_start,segment_end,segment_pair,travel_duration,weather,rush_hour
16,404326, 402233,"(404326, 402233)",298.87287475,1.0,0
17,402145, 402145,"(402145, 402145)",56.6,1.0,0
18,203724, 203343,"(203724, 203343)",103.197962294,1.0,0
19,450040, 450040,"(450040, 450040)",77.0,1.0,0
20,203609, 203610,"(203609, 203610)",57.5401844276,1.0,0
21,203884, 200430,"(203884, 200430)",39.9792094762,1.0,0
22,203610, 203611,"(203610, 203611)",80.7656571776,1.0,0
23,201492, 201495,"(201492, 201495)",102.187913157,1.0,0
24,402144, 402145,"(402144, 402145)",198.609650792,1.0,0
25,402227, 402228,"(402227, 402228)",70.9393026944,1.0,0
26,201933, 201933,"(201933, 201933)",65.5,1.0,0
27,201940, 201942,"(201940, 201942)",32.4393745467,1.0,0
28,202941, 203052,"(202941, 203052)",108.108692196,1.0,0
29,400186, 400354,"(400186, 400354)",303.903531308,1.0,0
30,901171, 903205,"(901171, 903205)",186.777928607,1.0,0
31,203723, 203724,"(203723, 203724)",85.6203811961,1.0,0
32,202647, 203809,"(202647, 203809)",83.3983178235,1.0,0
33,404890, 404890,"(404890, 404890)",307.0,1.0,0
34,404850, 803074,"(404850, 803074)",74.8018178824,1.0,0
35,201942, 201944,"(201942, 201944)",49.0796993933,1.0,0
36,903205, 405043,"(903205, 405043)",186.726668692,1.0,0
37,450402, 404890,"(450402, 404890)",187.779107444,1.0,0
38,203810, 203456,"(203810, 203456)",83.3519659216,1.0,0
39,201948, 201933,"(201948, 201933)",48.0,1.0,0
40,202669, 201933,"(202669, 201933)",23.0,1.0,0
41,203456, 200646,"(203456, 200646)",67.249889451,1.0,0
42,201730, 201498,"(201730, 201498)",88.0,1.0,0
43,402145, 905030,"(402145, 905030)",160.991131062,1.0,0
44,203343, 203798,"(203343, 203798)",91.8776018099,1.0,0
45,201498, 201499,"(201498, 201499)",66.5267853333,1.0,0
46,803071, 901111,"(803071, 901111)",256.529166667,1.0,0
47,905020, 805033,"(905020, 805033)",186.777928607,1.0,0
48,202589, 201947,"(202589, 201947)",67.7460186195,1.0,0
49,201951, 203604,"(201951, 203604)",56.1800091776,1.0,0
50,404890, 404891,"(404890, 404891)",85.01729,1.0,0
51,404300, 402227,"(404300, 402227)",96.7419259444,1.0,0
52,203608, 203609,"(203608, 203609)",82.488938511,1.0,0
53,402229, 400744,"(402229, 400744)",119.743399939,1.0,0
54,203604, 203608,"(203604, 203608)",48.8362316776,1.0,0
55,201730, 203616,"(201730, 203616)",76.0316361176,1.0,0
56,201950, 201951,"(201950, 201951)",55.6304880311,1.0,0
57,404299, 404300,"(404299, 404300)",137.601018278,1.0,0
58,903101, 404850,"(903101, 404850)",79.7357243138,1.0,0
59,400070, 400070,"(400070, 400070)",64.3333333333,1.0,0
60,404887, 400070,"(404887, 400070)",764.484014629,1.0,0
61,203614, 901108,"(203614, 901108)",758.85079365,1.0,0
62,203605, 202647,"(203605, 202647)",65.6481378235,1.0,0
63,201947, 201948,"(201947, 201948)",71.8635888862,1.0,0
64,805039, 805038,"(805039, 805038)",186.777928607,1.0,0
65,203052, 200652,"(203052, 200652)",114.468410608,1.0,0
66,201942, 201933,"(201942, 201933)",24.0,1.0,0
67,200316, 200428,"(200316, 200428)",79.203771,1.0,0
68,901108, 404887,"(901108, 404887)",758.85079365,1.0,0
69,402143, 402144,"(402143, 402144)",256.529166667,1.0,0
70,400354, 400354,"(400354, 400354)",93.75,1.0,0
71,201944, 201933,"(201944, 201933)",18.0,1.0,0
72,200652, 203723,"(200652, 203723)",93.5774653529,1.0,0
73,805035, 901114,"(805035, 901114)",186.777928607,1.0,0
74,201948, 201950,"(201948, 201950)",64.4630759542,1.0,0
75,803074, 803071,"(803074, 803071)",136.973529412,1.0,0
76,905030, 905030,"(905030, 905030)",50.6666666667,1.0,0
77,400354, 450040,"(400354, 450040)",283.022510846,1.0,0
78,201934, 203417,"(201934, 203417)",17.6247686933,1.0,0
79,203616, 203617,"(203616, 203617)",66.1817056275,1.0,0
80,803033, 401666,"(803033, 401666)",98.8784107255,1.0,0
81,203613, 203614,"(203613, 203614)",116.019047619,1.0,0
82,400070, 450402,"(400070, 450402)",227.714525333,1.0,0
83,404891, 404892,"(404891, 404892)",83.017039,1.0,0
84,200646, 200715,"(200646, 200715)",60.452262451,1.0,0
85,202669, 201940,"(202669, 201940)",41.1634626642,1.0,0
86,203809, 201492,"(203809, 201492)",60.8884297059,1.0,0
87,805038, 901171,"(805038, 901171)",186.777928607,1.0,0
88,202603, 202941,"(202603, 202941)",76.4334041765,1.0,0
89,200430, 203605,"(200430, 203605)",48.7081778542,1.0,0
90,203798, 905020,"(203798, 905020)",83.5793759472,1.0,0
91,201495, 201497,"(201495, 201497)",91.8287998627,1.0,0
92,203417, 202669,"(203417, 202669)",46.4083319142,1.0,0
93,200715, 202603,"(200715, 202603)",56.3957608627,1.0,0
94,405043, 803033,"(405043, 803033)",167.745955516,1.0,0
95,201497, 201498,"(201497, 201498)",75.2013924902,1.0,0
96,201944, 202589,"(201944, 202589)",36.0383305306,1.0,0
97,203612, 201933,"(203612, 201933)",9.0,1.0,0
98,401666, 903101,"(401666, 903101)",76.5301416471,1.0,0
99,203612, 203613,"(203612, 203613)",116.019047619,1.0,0
100,450040, 404299,"(450040, 404299)",146.822505256,1.0,0
101,400186, 400186,"(400186, 400186)",72.1428571429,1.0,0
0,901111, 402143,"(901111, 402143)",199.767651099,2.0,0
1,805037, 805039,"(805037, 805039)",138.80234683,2.0,0
2,805033, 805035,"(805033, 805035)",138.80234683,2.0,0
3,203617, 203810,"(203617, 203810)",67.6578374074,2.0,0
4,805034, 805037,"(805034, 805037)",138.80234683,2.0,0
5,402228, 402229,"(402228, 402229)",74.2841611429,2.0,0
6,905030, 400186,"(905030, 400186)",198.983496037,2.0,0
7,203611, 203612,"(203611, 203612)",103.371972053,2.0,0
8,400744, 404326,"(400744, 404326)",88.7715059,2.0,0
9,201933, 201934,"(201933, 201934)",122.624128333,2.0,0
10,200428, 203884,"(200428, 203884)",48.732186549,2.0,0
11,201499, 201730,"(201499, 201730)",86.4732362593,2.0,0
12,400070, 404887,"(400070, 404887)",533.0,2.0,0
13,901114, 805034,"(901114, 805034)",138.80234683,2.0,0
14,404326, 402233,"(404326, 402233)",87.35486775,2.0,0
15,203724, 203343,"(203724, 203343)",105.117137667,2.0,0
16,203609, 203610,"(203609, 203610)",94.0400584035,2.0,0
17,203884, 200430,"(203884, 200430)",33.4496018333,2.0,0
18,203610, 203611,"(203610, 203611)",73.9547401579,2.0,0
19,201492, 201495,"(201492, 201495)",70.8767045556,2.0,0
20,402144, 402145,"(402144, 402145)",133.775658137,2.0,0
21,402227, 402228,"(402227, 402228)",68.4094646,2.0,0
22,201940, 201942,"(201940, 201942)",49.0127848246,2.0,0
23,202941, 203052,"(202941, 203052)",105.513833296,2.0,0
24,400186, 400354,"(400186, 400354)",156.115555818,2.0,0
25,901171, 903205,"(901171, 903205)",138.80234683,2.0,0
26,203723, 203724,"(203723, 203724)",68.3148011729,2.0,0
27,202647, 203809,"(202647, 203809)",59.4674115062,2.0,0
28,404850, 803074,"(404850, 803074)",76.7092606137,2.0,0
29,201942, 201944,"(201942, 201944)",84.5522791754,2.0,0
30,903205, 405043,"(903205, 405043)",131.117689602,2.0,0
31,450402, 404890,"(450402, 404890)",146.718900667,2.0,0
32,203810, 203456,"(203810, 203456)",87.4820611605,2.0,0
33,203456, 200646,"(203456, 200646)",62.7442090617,2.0,0
34,450040, 404299,"(450040, 404299)",164.467100644,2.0,0
35,402145, 905030,"(402145, 905030)",120.697059852,2.0,0
36,203343, 203798,"(203343, 203798)",96.4271130105,2.0,0
37,201498, 201499,"(201498, 201499)",51.8780433086,2.0,0
38,803071, 901111,"(803071, 901111)",199.767651099,2.0,0
39,905020, 805033,"(905020, 805033)",138.80234683,2.0,0
40,202589, 201947,"(202589, 201947)",68.9972075439,2.0,0
41,201951, 203604,"(201951, 203604)",64.5800170526,2.0,0
42,404890, 404891,"(404890, 404891)",76.2719835833,2.0,0
43,404300, 402227,"(404300, 402227)",91.2147377778,2.0,0
44,203608, 203609,"(203608, 203609)",98.8461711404,2.0,0
45,402229, 400744,"(402229, 400744)",97.2628411667,2.0,0
46,203604, 203608,"(203604, 203608)",71.8885698772,2.0,0
47,201730, 203616,"(201730, 203616)",58.1499045556,2.0,0
48,201950, 201951,"(201950, 201951)",74.7483508947,2.0,0
49,404299, 404300,"(404299, 404300)",112.541946178,2.0,0
50,903101, 404850,"(903101, 404850)",74.5736461076,2.0,0
51,402229, 905030,"(402229, 905030)",96.0,2.0,0
52,404887, 400070,"(404887, 400070)",525.472972922,2.0,0
53,203614, 901108,"(203614, 901108)",575.156862745,2.0,0
54,203605, 202647,"(203605, 202647)",55.0900654487,2.0,0
55,201947, 201948,"(201947, 201948)",95.3622028596,2.0,0
56,400354, 402145,"(400354, 402145)",627.0,2.0,0
57,805039, 805038,"(805039, 805038)",138.80234683,2.0,0
58,203067, 201933,"(203067, 201933)",279.0,2.0,0
59,203052, 200652,"(203052, 200652)",102.853386778,2.0,0
60,901108, 404887,"(901108, 404887)",575.156862745,2.0,0
61,402143, 402144,"(402143, 402144)",199.767651099,2.0,0
62,200652, 203723,"(200652, 203723)",95.1993772593,2.0,0
63,805035, 901114,"(805035, 901114)",138.80234683,2.0,0
64,201948, 201950,"(201948, 201950)",97.1122472105,2.0,0
65,803071, 903205,"(803071, 903205)",1208.0,2.0,0
66,803074, 803071,"(803074, 803071)",117.276256614,2.0,0
67,400354, 450040,"(400354, 450040)",183.898278579,2.0,0
68,201934, 203417,"(201934, 203417)",81.2142857143,2.0,0
69,203616, 203617,"(203616, 203617)",54.6537786543,2.0,0
70,803033, 401666,"(803033, 401666)",66.4235137619,2.0,0
71,203613, 203614,"(203613, 203614)",92.7720757222,2.0,0
72,400070, 450402,"(400070, 450402)",156.700848667,2.0,0
73,200646, 200715,"(200646, 200715)",54.2977683827,2.0,0
74,202669, 201940,"(202669, 201940)",64.1916370351,2.0,0
75,203067, 203067,"(203067, 203067)",94.0,2.0,0
76,203809, 201492,"(203809, 201492)",61.2065838395,2.0,0
77,805038, 901171,"(805038, 901171)",138.80234683,2.0,0
78,202603, 202941,"(202603, 202941)",79.0326726543,2.0,0
79,200430, 203605,"(200430, 203605)",48.0178478974,2.0,0
80,203798, 905020,"(203798, 905020)",73.3414501216,2.0,0
81,201495, 201497,"(201495, 201497)",63.5106949259,2.0,0
82,203417, 202669,"(203417, 202669)",87.9527213137,2.0,0
83,200715, 202603,"(200715, 202603)",47.8210656667,2.0,0
84,405043, 803033,"(405043, 803033)",111.455599435,2.0,0
85,201497, 201498,"(201497, 201498)",46.769035,2.0,0
86,201944, 202589,"(201944, 202589)",58.0152580702,2.0,0
87,401666, 903101,"(401666, 903101)",59.2044753086,2.0,0
88,203612, 203613,"(203612, 203613)",123.751927158,2.0,0
89,400186, 400186,"(400186, 400186)",64.0,2.0,0
90,203724, 203724,"(203724, 203724)",63.0,2.0,0
