,stop_id,route_id,shape_id,direction_id,dist_along_route
305,200551,S48,S480057,0,9113.54
306,200552,S48,S480057,0,9338.06
307,200553,S48,S480057,0,9550.49
308,203972,S48,S480057,0,9893.25
309,200284,S48,S480057,0,10123.1
310,905002,S48,S480057,0,10303.3
311,200154,S48,S480057,0,10519.05
312,203650,S48,S480057,0,10799.38
313,805017,S48,S480057,0,11198.17
314,203637,S51,S510068,0,0.44
315,200176,S51,S510068,0,300.38
316,200177,S51,S510068,0,654.3
317,200178,S51,S510068,0,794.73
318,203190,S51,S510068,0,1080.76
319,200180,S51,S510068,0,1332.56
320,200181,S51,S510068,0,1604.29
321,201638,S51,S510068,0,1745.85
322,200183,S51,S510068,0,1826.95
323,200184,S51,S510068,0,2042.5
324,200185,S51,S510068,0,2166.45
325,203205,S51,S510068,0,2404.85
326,200187,S51,S510068,0,2630.7
327,200188,S51,S510068,0,2757.33
328,200189,S51,S510068,0,2890.75
329,200190,S51,S510068,0,3081.2
330,200191,S51,S510068,0,3267.39
331,200192,S51,S510068,0,3424.33
332,200193,S51,S510068,0,3708.68
333,200194,S51,S510068,0,3946.72
334,200195,S51,S510068,0,4310.73
335,200196,S51,S510068,0,4514.04
336,200197,S51,S510068,0,4852.4
337,200198,S51,S510068,0,5023.03
338,200200,S51,S510068,0,5552.35
339,200170,S51,S510068,0,5759.43
340,203226,S51,S510068,0,6915.67
341,203637,S51,S510073,0,0.44
342,200176,S51,S510073,0,300.38
343,200177,S51,S510073,0,654.3
344,200178,S51,S510073,0,794.73
345,203190,S51,S510073,0,1080.76
346,200180,S51,S510073,0,1332.56
347,200181,S51,S510073,0,1604.29
348,201638,S51,S510073,0,1745.85
349,200183,S51,S510073,0,1826.95
350,200184,S51,S510073,0,2042.5
351,200185,S51,S510073,0,2166.45
352,203205,S51,S510073,0,2404.85
353,200187,S51,S510073,0,2630.7
354,200188,S51,S510073,0,2757.33
355,200189,S51,S510073,0,2890.75
356,200190,S51,S510073,0,3081.2
357,200191,S51,S510073,0,3267.39
358,200192,S51,S510073,0,3424.33
359,200193,S51,S510073,0,3708.68
360,200194,S51,S510073,0,3946.72
361,200195,S51,S510073,0,4310.73
362,200196,S51,S510073,0,4514.04
363,200197,S51,S510073,0,4852.4
364,200198,S51,S510073,0,5023.03
365,200200,S51,S510073,0,5552.35
366,200170,S51,S510073,0,5759.43
367,200171,S51,S510073,0,6154.89
368,203066,S51,S510073,0,6494.52
369,200173,S51,S510073,0,6612.88
370,203226,S51,S510073,0,6915.49
371,200219,S51,S510073,0,7893.23
372,200220,S51,S510073,0,7998.37
373,203096,S51,S510073,0,8111.27
374,203097,S51,S510073,0,8344.01
375,200223,S51,S510073,0,8405.03
376,200224,S51,S510073,0,8611.78
377,200225,S51,S510073,0,8802.13
378,200226,S51,S510073,0,8935.36
379,203634,S51,S510073,0,9206.57
380,200228,S51,S510073,0,9354.45
381,203173,S51,S510073,0,9800.52
382,203426,S51,S510073,0,9921.61
383,203482,S51,S510073,0,10137.07
384,200233,S51,S510073,0,10265.06
385,200234,S51,S510073,0,10586.38
386,200235,S51,S510073,0,10727.7
387,200236,S51,S510073,0,10989.45
388,200237,S51,S510073,0,11189.97
389,200238,S51,S510073,0,11462.33
390,203553,S51,S510073,0,11761.28
391,200240,S51,S510073,0,11907.33
392,905103,S51,S510073,0,12176.99
393,203637,S51,S510074,0,0.44
394,200176,S51,S510074,0,300.38
395,200177,S51,S510074,0,654.3
396,200178,S51,S510074,0,794.73
397,203190,S51,S510074,0,1080.76
398,200180,S51,S510074,0,1332.56
399,200181,S51,S510074,0,1604.29
400,201638,S51,S510074,0,1745.85
401,200183,S51,S510074,0,1826.95
402,200184,S51,S510074,0,2042.5
403,200185,S51,S510074,0,2166.45
404,203205,S51,S510074,0,2404.85
405,200187,S51,S510074,0,2630.7
406,200188,S51,S510074,0,2757.33
407,200189,S51,S510074,0,2890.75
408,200190,S51,S510074,0,3081.2
409,200191,S51,S510074,0,3267.39
410,200192,S51,S510074,0,3424.33
411,200193,S51,S510074,0,3708.68
412,200194,S51,S510074,0,3946.72
413,200195,S51,S510074,0,4310.73
414,200196,S51,S510074,0,4514.04
415,203741,S51,S510074,0,4666.93
416,203413,S51,S510074,0,4910.34
417,203744,S51,S510074,0,5096.92
418,203742,S51,S510074,0,5402.87
419,203743,S51,S510074,0,5578.19
420,200170,S51,S510074,0,5997.61
421,200171,S51,S510074,0,6393.07
422,203066,S51,S510074,0,6732.7
423,200173,S51,S510074,0,6851.06
424,203226,S51,S510074,0,7153.67
425,200219,S51,S510074,0,8131.41
426,200220,S51,S510074,0,8236.55
427,203096,S51,S510074,0,8349.45
428,203097,S51,S510074,0,8582.19
429,200223,S51,S510074,0,8643.21
430,200224,S51,S510074,0,8849.96
431,200225,S51,S510074,0,9040.31
432,200226,S51,S510074,0,9173.55
433,203634,S51,S510074,0,9444.75
434,200228,S51,S510074,0,9592.63
435,203173,S51,S510074,0,10038.7
436,203426,S51,S510074,0,10159.79
437,203482,S51,S510074,0,10375.25
438,200233,S51,S510074,0,10503.25
439,200234,S51,S510074,0,10824.56
440,200235,S51,S510074,0,10965.88
441,200236,S51,S510074,0,11227.63
442,200237,S51,S510074,0,11428.15
443,200238,S51,S510074,0,11700.51
444,203553,S51,S510074,0,11999.46
445,200240,S51,S510074,0,12145.51
446,905103,S51,S510074,0,12415.17
447,200242,S51,S510082,0,0.12
448,200157,S51,S510082,0,244.56
449,203466,S51,S510082,0,516.83
450,200160,S51,S510082,0,703.63
451,200159,S51,S510082,0,864.03
452,200161,S51,S510082,0,1071.65
453,203008,S51,S510082,0,1504.36
454,200097,S51,S510082,0,1700.92
455,200099,S51,S510082,0,1945.76
