,actual,baseline,lbfgs,sgd,adam
1745,234.88002,207.23212697,239.594562585,248.039288962,240.865645921
1746,3139.389705,1577.11687363,3178.57995966,2982.43858033,3270.71338542
1747,291.996068,275.135516657,283.364531944,267.565988906,288.819306972
1748,2201.363701,2068.38982298,2164.99476928,2205.56262303,2250.06716829
1749,232.955773,364.907417824,393.196728311,382.40355056,398.300438491
1750,254.785213,183.521706555,242.614175963,272.812070457,243.709801019
1751,1668.44362,1446.7559815,1516.68683669,1516.50159413,1565.68866032
1752,1662.707614,1491.17402348,1743.10241659,1892.78971406,1775.93712991
1753,1385.974275,1144.82913631,1228.86474755,1257.87441105,1266.27971975
1754,1648.860534,799.31169363,1046.66570074,1183.10211009,1057.08192894
1755,1786.527687,2086.72663092,2263.65908245,2310.59874062,2319.1431394
1756,303.342457,232.67851136,254.273197013,278.690547525,266.249170151
1757,569.141102,574.662990859,670.224551192,709.218246838,674.780078484
1758,1419.733808,721.551968774,1410.0560969,1339.49956468,1438.29671061
1759,681.310461,816.769737869,740.042884571,731.632316153,818.457662745
1760,126.419716,125.066752098,143.108524373,133.673456648,139.967362389
1761,1147.179882,1008.21457938,1088.63594846,1114.38909987,1118.16522728
1762,941.742788,708.665061029,895.319250744,1008.66295426,905.188408357
1763,2422.930881,961.908603851,2270.61561249,1977.01535185,2383.73335614
1764,829.424758,784.800403311,863.837801194,865.086548237,874.605091585
1765,416.462668,468.812137137,482.427864679,503.138976409,510.101880109
1766,690.348694,549.960629419,614.452158133,648.471820986,629.251732757
1767,2659.590754,1087.93943168,3222.15249184,2456.68407602,3240.37714121
1768,716.758767,752.887389729,707.393407852,658.611889551,753.346857068
1769,300.317515,285.566953897,361.947753415,407.315136001,365.396060323
1770,1474.099134,1852.63358335,1874.72866504,1813.50070583,1932.28263018
1771,1322.207722,1297.76381017,1462.91885686,1541.58064776,1490.42760668
1772,1291.0,1149.64331903,1281.39499026,1327.11658412,1302.63388084
1773,517.374619,441.78603364,473.768545472,417.509848293,459.465836907
1774,277.417275,183.492831016,230.477873563,229.55243763,222.722848674
1775,1336.777048,1648.81616226,1704.48230977,1722.75818751,1777.19279599
1776,277.731522,222.758382602,247.574826423,220.159092893,240.84780668
1777,1895.685798,1882.3904639,2024.26492179,2084.78273017,2086.60306751
1778,959.532008,695.814816328,806.78154165,850.16553204,813.084277464
1779,210.619037,207.773202538,318.854977951,341.475649686,317.055155996
1780,220.363701,153.860367231,148.190906242,160.208127023,164.206334172
1781,1461.0,1340.18295539,1471.25279075,1522.63174717,1505.35088675
1782,919.809662,741.407140896,849.374390747,885.548250251,856.465904959
1783,137.912162,131.62233605,138.612009592,135.397002404,143.494526183
1784,112.594038,126.030007935,140.742499611,144.211581376,143.992655903
1785,2053.43898,921.711149057,1889.0780025,1755.47848961,1944.88437662
1786,517.297141,461.572712826,544.514806753,589.870005491,554.005246543
1787,244.0,271.760329429,305.792639422,321.503459194,312.765008503
1788,352.413964,211.07473069,256.404596451,254.874985334,249.384821163
1789,898.939793,1061.0989623,1133.22040794,1158.39620649,1169.91198862
1790,2360.254368,815.502749423,857.879770824,777.220744829,847.98629886
1791,843.173983,536.818652556,615.027246615,625.514549819,615.265163097
1792,940.501131,878.651456358,913.923826562,883.84397394,936.651912059
1793,1516.975675,1542.62674581,1687.29203902,1749.9349953,1729.85119666
1794,96.237856,86.9523492498,68.3344755385,79.6388320245,84.6031284018
1795,248.14745,231.918539138,229.930034608,203.721290379,237.332732551
1796,1207.573645,1183.91026115,1216.69957598,1257.60055551,1281.14084025
1797,386.305405,358.699103691,410.076841688,412.60915974,409.082194246
1798,714.100138,743.770430112,780.961131461,799.766362332,812.397643373
1799,196.235606,280.979079349,428.852114014,462.126863314,429.275274576
1800,87.76389,61.632914937,118.927184589,108.4944651,113.894290785
1801,537.130206,551.812779445,636.816049009,662.352738465,639.929527855
