,actual,baseline,GP_RBF_ARD,GP_RBF_NoARD,GP_Matern32_ARD,GP_Matern32_NoARD,GP_Matern52_ARD,GP_Matern52_NoARD,GP_Linear_ARD,GP_Linear_NoARD
1780,220.363701,153.860367231,154.219941369,155.760061344,158.632515499,156.182451686,152.243971842,153.400101647,150.586514076,150.056997757
1781,1461.0,1340.18295539,1451.32001847,1464.46255317,1453.27589266,1472.65946942,1457.25161249,1470.51821346,1487.8004602,1489.12794631
1782,919.809662,741.407140896,847.395155339,845.964429103,859.83028937,847.528593214,851.901922089,846.816681858,892.565500678,892.735644274
1783,137.912162,131.62233605,140.669053556,141.033446938,145.405699042,139.664640145,139.287930853,139.225663067,129.809923514,130.615785516
1784,112.594038,126.030007935,134.767712185,139.286517675,140.685609034,141.08423833,133.787283508,139.1481274,142.20300425,142.954547851
1785,2053.43898,921.711149057,1873.53910205,1866.92239552,1909.19042124,1886.29915221,1879.43323712,1873.53233614,1605.45157976,1605.26514857
1786,517.297141,461.572712826,532.033625241,543.76856566,520.121759261,544.199635651,531.405578173,541.076080472,596.360924597,597.139969144
1787,244.0,271.760329429,293.193721465,303.61229728,290.023752459,307.161729769,292.781969503,303.890107705,318.393427799,319.188848658
1788,352.413964,211.07473069,254.907941402,253.435657178,257.165017858,251.452343554,255.577652202,253.73466364,271.391169938,271.312112597
1789,898.939793,1061.0989623,1125.60038483,1134.98233712,1121.02745489,1138.78353545,1127.68139213,1139.73913804,1116.98901213,1118.25324353
1790,2360.254368,815.502749423,838.081721447,827.951554357,831.100089925,822.28227691,832.820776938,825.99095949,745.668721823,742.998213332
1791,843.173983,536.818652556,610.249690915,610.045973838,617.761432307,609.967411569,613.429226396,612.213910124,634.270677956,634.338199648
1792,940.501131,878.651456358,920.08219329,912.550051076,918.292580614,909.003179613,918.556829352,914.726367065,844.577776142,844.931638066
1793,1516.975675,1542.62674581,1667.15423989,1680.57991232,1671.89420003,1690.51097612,1674.43320712,1687.7044019,1704.72819429,1706.19233872
1794,96.237856,86.9523492498,85.2257482307,80.1037992702,83.8629662659,76.6367114686,82.8509626411,73.5318193,71.6802467387,69.6098063299
1795,248.14745,231.918539138,240.690038223,236.66072679,238.52942088,236.100577601,239.2644144,237.901466986,197.748042074,197.737381325
1796,1207.573645,1183.91026115,1226.02744746,1231.35247546,1219.20961107,1236.17253197,1225.93760265,1234.00990184,1196.23507778,1194.9398877
1797,386.305405,358.699103691,405.891032614,405.982919214,410.389008094,405.537155849,407.95083567,407.821890524,418.519157387,418.555696096
1798,714.100138,743.770430112,790.769569883,789.648656682,794.893578311,790.499724787,792.710501536,792.82524759,784.322938738,781.866681104
1799,196.235606,280.979079349,397.9647816,419.792160672,383.172800071,427.521747838,399.910561468,424.308915967,435.189290167,435.779811152
1800,87.76389,61.632914937,116.535218464,111.053174667,115.194048793,112.549676142,115.398032247,113.550330625,112.004762428,111.906050317
1801,537.130206,551.812779445,635.57817626,634.047546702,644.570428254,634.543924438,638.719053717,634.422288948,671.560498695,671.655589654
1802,751.0,699.085877574,701.816720344,696.691566206,690.400466327,696.14973275,696.590063197,693.117248091,614.719698453,615.999400851
1803,564.398693,473.385513649,508.606218932,519.797164739,502.981704429,526.288353238,509.330417896,520.507209377,548.551539888,548.171332766
1804,693.489835,696.8854227,821.930590364,827.891970152,806.557484461,827.303477288,820.814966605,822.362767265,929.557314445,928.092505973
1805,2301.00521,2250.00299196,2389.11151148,2397.5827106,2393.25688177,2405.27358864,2396.00000713,2409.11988515,2353.29599869,2355.19917323
1806,1692.004252,1351.81896087,1433.56570288,1443.62264711,1431.91839971,1450.61133798,1437.3690439,1449.73127122,1435.83029121,1435.91281672
1807,1089.944736,846.323792952,891.146272943,886.123402702,891.855705339,884.076370596,891.164767479,889.285635217,834.834389737,835.19670411
1808,1047.483368,1046.86420089,1080.24219683,1081.1102354,1070.38323997,1081.69097978,1077.91862689,1082.23562116,1011.82534006,1013.21746143
1809,1183.412198,927.54184636,896.268223948,873.390048336,891.918411796,892.563395546,888.13837273,879.210728551,667.649396936,668.182870196
1810,761.38763,706.897849819,766.489261653,766.195354468,771.615155475,765.470364973,769.251978844,770.586601558,754.942321747,755.165093324
1811,94.0,68.3259912004,74.4003218096,74.3823263386,77.9882996563,77.3188457738,73.5664490387,74.3420638746,79.024788493,79.7513410044
1812,133.123133,53.4051372523,86.3597321473,82.5663475378,74.0816869288,75.8100306965,85.1332567238,81.6284086536,78.8030408757,79.3376734912
1813,835.586639,904.347669395,942.223175688,946.406931639,933.592496909,946.803443186,940.988251863,948.244234387,898.585545335,899.825621411
1814,2891.489499,815.776606402,2030.96239445,2054.39031036,2077.94438067,2054.66958794,2045.21609657,2036.4634644,1511.74280052,1511.4798399
1815,2257.590016,1962.95680436,2002.02382999,1989.93207573,1986.11586302,1989.22642373,1994.58931914,1988.37917883,1833.8037561,1832.94772418
1816,109.067289,103.090536161,111.255353779,119.555980587,116.613818827,122.637881992,111.422361187,119.810041374,134.209338722,134.87933947
1817,876.110703,807.176607406,831.849792322,833.18276774,821.946996274,832.556386081,829.119559636,833.098402389,774.535166152,775.766287117
1818,1198.939793,1243.06646289,1311.68624531,1319.07156795,1306.48797006,1322.03725746,1313.32784825,1324.27058788,1282.34672592,1283.72471571
1819,463.929953,332.458085658,376.35703138,388.842428568,366.248189657,390.63582238,375.718067101,387.168901409,426.711114522,427.470486869
1820,548.233038,397.486213504,587.889264057,605.544778617,569.220221474,613.98627396,588.313156514,611.75757437,624.717437576,625.266155013
1821,2585.58698,1965.65387265,2847.51320927,2779.63394868,2831.33845437,2759.65005728,2826.5751622,2778.99270679,2962.27393746,2962.44571203
1822,846.517731,811.101137803,841.119161629,848.421372475,834.097112674,852.519483645,840.782702656,849.920723577,836.292879592,834.756000008
1823,446.570314,452.189662308,469.468072586,476.175636257,464.102525476,477.790738749,468.432134086,476.735301234,458.815322584,459.825804041
1824,508.826442,264.848422152,379.251840204,366.917084031,373.826431596,361.171702245,375.455744452,366.744194947,403.850167177,403.73268117
1825,3245.152851,2235.9052318,2494.78849744,2495.49937006,2531.80569441,2505.51670073,2509.98295144,2503.11888542,2588.3231309,2589.12792442
1826,150.265273,199.818999601,227.073277237,239.924507294,219.807078303,241.325118709,226.431899178,239.31773231,268.21114512,268.888384345
1827,1117.0,1145.05074518,1113.03991542,1086.46235489,1102.89869364,1097.64641644,1100.75930193,1083.68918758,886.507474027,884.223583255
1828,2239.389705,759.455313516,2620.16447795,2645.19518967,2599.64736936,2603.21458645,2611.55555743,2611.92441421,1532.83189289,1532.47329747
1829,1085.338396,921.157275601,980.611826467,991.298495844,976.49449087,996.190783177,982.916099649,995.433757593,987.134291973,988.32875236
1830,738.830928,812.810611219,846.119445494,838.212866391,844.099192782,835.518996215,844.271982385,839.802063957,770.780689712,771.14405516
1831,445.122486,303.299042798,350.800908927,362.309620566,336.815459217,364.363016987,349.77528777,360.938904517,411.497572484,411.048181944
1832,95.943531,161.516512127,150.75825274,149.081732867,152.316181807,145.590161098,149.231607968,141.739816264,113.809198456,111.709364929
1833,160.239683,133.104265438,166.960863475,164.752196736,167.740193702,162.606131951,166.896595397,164.362566667,180.494730194,180.427173363
1834,870.472571,806.764427543,843.908950023,850.706480557,836.915138512,852.824458172,843.734806543,853.112062357,820.855306251,822.046707261
1835,1651.933411,1250.4313184,1558.15937318,1532.71421203,1565.77880244,1513.09426352,1555.82087976,1519.7177084,1695.42193423,1694.54171548
1836,511.428047,442.66504076,505.971564905,501.677735342,513.168826518,505.429709706,508.298518397,500.865951808,553.095629518,550.693151403
1837,382.986985,413.712275144,430.716422936,425.164890251,427.875557041,422.569740107,428.771112471,425.484566106,380.003396807,380.123892934
1838,1202.19851,758.683540976,826.696264008,826.86833472,833.444188076,826.786583616,830.210637996,831.649190687,822.283603029,822.52221173
1839,725.322026,738.266104983,782.249204245,778.276352755,782.657511298,775.497248158,782.349707322,781.228717537,735.169170547,735.434652594
1840,310.944479,228.013910267,247.321371987,258.14885548,244.369977355,261.83031144,246.79977373,257.92522235,277.113840879,277.875415175
1841,1266.344614,691.820558975,844.788726579,834.904347917,851.661695244,827.002804296,845.293493145,830.253393696,913.920852469,913.928700641
1842,930.278624,707.507032768,1089.30134471,1062.69239061,1083.82327194,1061.68289182,1081.29917551,1067.3256435,1104.53146803,1104.50607819
1843,832.603496,777.053918655,825.033090297,822.063790313,827.322500586,820.63848802,826.117951494,825.762891414,785.893210098,786.206110184
1844,1536.4615,1119.56493614,1208.67086585,1208.5860274,1219.05785367,1210.38405059,1213.85497629,1215.43605662,1197.05532391,1197.51346393
1845,2311.456714,1776.53400039,1904.20501879,1916.47214968,1909.59012462,1927.36028401,1911.82924638,1925.09200947,1931.02915593,1931.30609535
1846,259.205915,178.943153185,212.798079904,207.194911763,214.185995492,209.028649471,213.072430152,206.618202321,244.04091033,241.59913314
1847,2486.120435,2520.82484853,2620.4964276,2616.50002626,2614.63048194,2620.23188591,2620.33984482,2623.85949852,2485.76626697,2486.59129556
1848,1223.67029,1022.4917308,1124.04954605,1124.926662,1136.22074016,1126.68353852,1129.92010178,1130.95525028,1137.2290316,1137.55857698
1849,913.808478,979.694905983,1046.91360882,1045.58982332,1053.1487097,1046.26711754,1050.01358383,1050.73770938,1028.1983965,1027.22267722
1850,460.042696,442.795166418,525.328344711,522.058893825,531.554924202,520.28472941,526.988192525,521.122111799,562.111356314,562.115360389
1851,1835.098543,1564.49991103,1743.69664789,1744.32328848,1769.39267498,1751.33872728,1754.32338686,1749.88860071,1807.08817909,1807.65569108
1852,664.953972,621.246255522,665.799922027,677.775120823,661.240271661,683.677469571,667.471178956,679.801803754,692.698451501,693.733971896
1853,1665.122399,290.795249706,1330.95447583,1268.59245814,1245.74954042,1294.28320443,1306.47385225,1330.6440126,637.790234821,637.549660624
1854,2063.505641,1979.20297847,2096.72662967,2090.53429325,2106.12043636,2090.93566632,2101.03563489,2100.55099518,2010.9635174,2011.89236646
1855,387.616268,344.031119928,387.942592891,388.250589912,390.342663753,385.721760827,389.420995444,390.656262945,390.554517741,390.532207181
1856,2586.443647,1913.53866107,2140.11953681,2140.30014354,2172.68244236,2149.17611583,2153.18571842,2145.93105774,2226.86993403,2227.56288878
