,ratio_baseline,GP_RBF_ARD,GP_RBF_NoARD,GP_Matern32_ARD,GP_Matern32_NoARD,GP_Matern52_ARD,GP_Matern52_NoARD,GP_Linear_ARD,GP_Linear_NoARD
3233,1.04190100177,1.01209125381,0.998744228566,1.02447016128,0.993344218162,1.01446636798,0.998804642584,1.00458341651,1.00778108501
3234,0.993478061316,0.929808623639,0.924580033946,0.928060078097,0.920772935169,0.926582740441,0.920126100896,0.930670929869,0.929887742379
3235,0.884888424704,0.893857973522,0.912169412006,0.903017426653,0.909212126503,0.902955114953,0.91492355904,1.08669403387,1.09062911924
3236,1.06761942665,0.908799288325,0.914586170131,0.896116585854,0.916300744619,0.905598443173,0.918663992967,0.845964610752,0.845776160776
3237,0.914224245604,0.808769440526,0.796632707968,0.818982364527,0.791126530613,0.807950899291,0.798958037866,0.729088202397,0.729455044818
3238,1.36080240974,0.985053579723,1.00854626128,0.990349592042,1.02150991154,0.991823726117,1.01259213928,0.928895983713,0.928822761868
3239,1.11852623158,1.10102333836,1.12229799576,1.11024039433,1.12277788836,1.10882128823,1.12270026054,1.30648249345,1.30583471439
3240,1.29918696798,1.15957864313,1.15977579845,1.14140696466,1.1544601653,1.15246176389,1.15751008922,1.11020059804,1.10983564875
3241,0.980381404748,0.929701189814,0.923069373579,0.935848021159,0.921560385315,0.929219953309,0.919856033107,0.951604575882,0.950445094426
3242,1.03473065391,0.951366476108,0.941259895734,0.950811811286,0.935024032152,0.947441888306,0.938081880529,0.917354058244,0.916478058862
3243,1.17086026564,0.792329540787,0.822977194167,0.806691603566,0.835098415172,0.801566262943,0.820844637144,0.747198750803,0.747532727071
3244,0.769782958051,0.701489473406,0.680763483768,0.712865461006,0.673829483853,0.701519997739,0.681014502724,0.639820766984,0.638604278089
3245,1.00540634904,0.937534060146,0.93233779878,0.933806519202,0.927658251875,0.933627333504,0.927852634545,0.931430476305,0.930691559648
3246,1.21569015329,1.1378946842,1.02734716866,1.05951215271,0.993002606681,1.12112955938,1.01927050926,0.895892821078,0.890985568214
3247,1.07325978038,1.01371366905,1.00672881402,1.01626306262,1.00303273285,1.0115575327,1.00240248982,1.02470498573,1.02361320396
3248,1.04604565289,0.968434304195,0.963559654243,0.963142182193,0.959099715232,0.964027753717,0.958928945956,0.956940258976,0.95627812427
3249,1.42546318955,1.19375205758,1.21808251583,1.18524883699,1.21310477689,1.19197418227,1.2205727556,1.05996532892,1.06815485887
3250,1.76527293915,0.957384492542,0.966784393602,0.944635140818,0.956801527595,0.957364745014,0.960600058808,1.05291568062,1.05295139475
3251,1.00852227595,0.812183310216,0.830823251058,0.810056283229,0.836735103436,0.813504719143,0.836463106146,0.732948775523,0.735606040602
3252,0.369849589835,0.344149331528,0.339105120129,0.347968745517,0.339271988065,0.344263749775,0.337978005735,0.343626345383,0.343118909974
3253,1.03106214132,0.844273166119,0.842923889104,0.855809111042,0.851635610335,0.846317807747,0.849383955313,0.763750328309,0.763258473065
3254,0.913028515087,0.803887063575,0.791445528773,0.812167347448,0.788048497096,0.802798048416,0.794283011226,0.731895637115,0.731095868729
3255,1.00038032697,0.974651181688,0.984994350424,0.978807758444,0.987950875399,0.978501782885,0.985584593158,1.07281391983,1.07498490001
3256,1.06065588629,1.0595786211,1.0701218033,1.07139588551,1.07607100156,1.0701874663,1.08478713906,1.27789211008,1.27279001786
3257,1.26667898243,1.07356275065,1.08103751326,1.05922149127,1.08403352879,1.07012889416,1.08610905017,0.99827500504,0.998074335509
