,actual,baseline,identity,logistic,tanh,relu
2066,1062.994114,1267.70652807,1441.86874786,1555.11057228,1432.00475026,1357.52853503
2067,233.898465,168.380915982,212.337365362,219.597484613,209.204625532,193.925864915
2068,394.276862,418.372434696,371.964877383,407.026245504,365.506267133,403.265247787
2069,254.074508,142.281325037,109.599379141,121.399247285,107.127117075,129.529008394
2070,137.850183,182.18310154,156.914076367,170.910880177,153.411091663,174.050456463
2071,2121.601206,1699.18461526,2107.25872331,2256.65126537,2093.79983901,1899.36918643
2072,552.078067,451.67917879,419.117739554,463.271521794,415.627889192,439.567983202
2073,952.275977,1042.14295391,1143.08715272,1242.02807058,1137.01109106,1093.62489842
2074,1602.219713,1528.92890378,1988.21849346,2122.3453033,1974.78883624,1758.56322077
2075,1589.008356,1630.29064846,1666.53203818,1823.83179099,1656.23395601,1649.50017768
2076,321.089758,267.452999558,289.050296004,312.583572188,287.250433931,279.838026635
2077,314.0,250.721754587,231.40405448,254.923702118,229.33839459,244.063258554
2078,136.570691,153.340871217,148.004712959,156.625318638,144.560552526,155.552386077
2079,415.414332,556.669928882,466.706116707,516.734157224,458.753169679,515.388618426
2080,288.179919,260.819607578,317.457634122,334.64159767,313.611700335,292.064139802
2081,2584.998549,2692.08164637,3138.25074902,3390.49335649,3122.047294,2910.18822612
2082,72.687745,103.880688336,93.1133335082,94.0543547796,88.9612957521,101.684819768
2083,1490.327891,1138.72601447,1447.32621893,1545.36024869,1437.1522184,1294.37943085
2084,1463.570725,1552.31232572,1507.86834753,1658.74997312,1496.13500166,1540.95390745
2085,283.412198,259.701944967,160.744025627,179.853256206,151.175371001,218.990652105
2086,4026.262933,1253.84156306,2475.33999161,2568.71493055,2418.01081527,3461.91063351
2087,248.537784,144.374194028,196.849559449,206.580329266,195.099406787,171.289171164
2088,2282.587942,2146.8884665,2151.3351307,2359.57759967,2136.35263252,2160.40164287
2089,142.692167,192.36067043,205.965918891,218.067164738,202.655228839,203.349840222
2090,1432.328298,1198.54579591,1556.89924698,1661.81706785,1546.82253474,1377.4382792
2091,352.297249,257.988316816,292.099545483,310.254376107,288.531435903,278.42030967
2092,1939.964166,1524.42762871,2010.0064922,2140.95158347,1995.4456591,1767.85930701
2093,2972.717682,2431.69174692,3145.99590655,3362.16299253,3125.65235176,2787.91229946
2094,338.159995,229.030378185,363.144352841,380.272753684,358.933263095,352.471184067
2095,1828.116998,1605.28969683,1982.43484614,2123.66322119,1969.60469606,1792.63028572
2096,905.016474,945.171995967,1084.32651399,1171.26579851,1078.34131236,1014.9282336
2097,643.571699,580.842220666,718.290268753,768.708088008,714.086747046,647.27832537
2098,117.224012,170.948001569,143.758398448,153.785930913,139.12043818,163.50947702
2099,1540.859743,1278.29247852,1355.81473708,1473.26897747,1345.82065573,1322.95050328
2100,543.678397,536.78307443,542.975754613,593.872304469,539.372258735,543.152099332
2101,1585.941176,1422.760144,1818.80131113,1946.39687248,1807.96766528,1619.73434307
2102,404.508667,442.566746756,606.032907977,619.166047908,594.389140556,535.048453026
2103,1049.492866,1360.00944328,1484.44301886,1610.706152,1475.35405753,1425.52750528
2104,268.12115,191.816819935,244.440406902,256.978803262,241.554519849,220.033822368
2105,232.267765,180.168634913,296.089906673,309.206817541,292.281792887,298.683117133
2106,1775.835362,2046.27837146,2137.44289676,2332.10509094,2124.15438396,2093.54005568
2107,1420.536473,248.716236265,327.525747204,314.354797584,314.710326666,307.273685912
2108,137.112885,127.849976552,198.09169661,204.05402043,194.790081561,182.31083856
2109,1250.530444,1037.72598146,988.133477247,1088.56739965,979.780131756,1021.62354732
2110,836.134779,858.175360021,1211.05668687,1281.46413556,1200.73490776,1036.16804877
