,trip_id,vehicle_id,route_id,stop_id,time_of_day,date,dist_along_route,stop_num_from_call
0,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,202669.0,12:30:00,20160126,1120.56489362,0.0
0,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,201948.0,12:05:00,20160126,2472.74571429,4.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201948.0,12:10:00,20160126,903.287741935,7.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,201948.0,12:10:00,20160126,3675.913125,1.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201948.0,12:15:00,20160126,2798.23125,3.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,201948.0,12:15:00,20160126,4278.92387097,0.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201948.0,12:20:00,20160126,3824.26396825,1.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2582.0,X11,201948.0,12:25:00,20160126,1328.84584615,7.0
1,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,201948.0,12:25:00,20160126,7.96,10.0
2,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201948.0,12:25:00,20160126,4350.380625,0.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2582.0,X11,201948.0,12:30:00,20160126,3244.93947917,1.0
1,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,201948.0,12:30:00,20160126,1120.56489362,6.0
0,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,202589.0,12:05:00,20160126,2472.74571429,2.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,202589.0,12:10:00,20160126,903.287741935,5.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,202589.0,12:15:00,20160126,2798.23125,1.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2582.0,X11,202589.0,12:25:00,20160126,1328.84584615,5.0
1,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,202589.0,12:25:00,20160126,7.96,8.0
0,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,202589.0,12:30:00,20160126,1120.56489362,4.0
0,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,201951.0,12:05:00,20160126,2472.74571429,6.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201951.0,12:10:00,20160126,903.287741935,9.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,201951.0,12:10:00,20160126,3675.913125,3.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201951.0,12:15:00,20160126,2798.23125,5.0
1,CA_A6-Weekday-SDon-041000_X1011_309,2224.0,X11,201951.0,12:15:00,20160126,4278.92387097,2.0
0,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201951.0,12:20:00,20160126,3824.26396825,3.0
0,CA_A6-Weekday-SDon-043500_X1011_315,2582.0,X11,201951.0,12:25:00,20160126,1328.84584615,9.0
1,MA_A6-Weekday-SDon-044500_X1011_603,2849.0,X11,201951.0,12:25:00,20160126,7.96,12.0
2,MA_A6-Weekday-SDon-042500_X1011_602,2872.0,X11,201951.0,12:25:00,20160126,4350.380625,2.0
